,instance_id,brand,cpu_brand,cpu_model,cpu_type,cpu_frequency,ram_capacity,ram_type,ram_frequency,hdd_capacity,ssd_capacity,weight,dimensions,title,preprocessed_titles,all_cpu,blocking_processor,blocking_brand,blocking_key
0,www.softwarecity.ca//737,lenovo,intel. i5-3320m,i5-3320m,dual-core ( 2 core ). core i5,2.60 ghz,,ddr3 sdram. ddr3-1600/pc3-12800. ddr3 sdram,ddr3-1600/pc3-12800,320 gb,,1.80 kg,,"lenovo thinkpad x230 34352jf tablet pc - 12.5"" - in-plane switching (ips) technology - wireless lan - intel core i5 i5-3320m 2.60 ghz - black - 4 gb ram - 320 gb hdd - windows 7 professional 64-bit - convertible - 1366 x 768 multi-touch screen display (led backlight) - bluetooth - french keyboard - (34352jf) - softwarecity.ca - canada","lenovo thinkpad x230 34352jf tablet pc 12.5"" in-plane switching  ips  technology wireless lan intel core i5 i5-3320m 2.60 ghz black 4 gb ram 320 gb hdd windows 7 professional 64-bit convertible 1366 x 768 multi-touch screen display  led backlight  bluetooth french keyboard  34352jf  softwarecity.ca canada","intel. i5-3320mi5-3320mdual-core ( 2 core ). core i52.60 ghzlenovo thinkpad x230 34352jf tablet pc - 12.5"" - in-plane switching (ips) technology - wireless lan - intel core i5 i5-3320m 2.60 ghz - black - 4 gb ram - 320 gb hdd - windows 7 professional 64-bit - convertible - 1366 x 768 multi-touch screen display (led backlight) - bluetooth - french keyboard - (34352jf) - softwarecity.ca - canadalenovo",core i5,lenovo,lenovo core i5
1,www.isupplyhub.com//1256,acer,1.6 ghz intel core i5-4200u. intel core i5,,1.6 ghz intel core i5-4200u,1.6 ghz intel core i5-4200u,8 gb ddr3l sdram,ddr3 sdram. 8 gb ddr3l sdram,,500 gb mechanical_hard_drive,,4.8 pounds,15.02 x 10.08 x 0.90 inches,amazon.com : acer aspire v7-582pg-6479 15.6-inch touchscreen ultrabook (cool steel) : computers & accessories,amazon.com   acer aspire v7-582pg-6479 15.6-inch touchscreen ultrabook  cool steel    computers & accessories,1.6 ghz intel core i5-4200u. intel core i51.6 ghz intel core i5-4200u1.6 ghz intel core i5-4200uamazon.com : acer aspire v7-582pg-6479 15.6-inch touchscreen ultrabook (cool steel) : computers & accessoriesacer,core i5,acer,acer core i5
2,www.isupplyhub.com//326,acer,1.6 ghz intel core i5. intel core i5,,1.6 ghz intel core i5,1.6 ghz intel core i5,4 gb ddr3-sdram,ddr3 sdram. 4 gb ddr3-sdram,,500 gb mechanical_hard_drive,,5.2 pounds,15.02 x 10.08 x 1 inches,"amazon.com : acer aspire e1-572-6870 15.6 inch laptop intel i5 4200u 1.6ghz processor, 4gb ram, 500gb hard drive, windows 8 (clarinet black) : laptop computers : computers & accessories",amazon.com   acer aspire e1-572-6870 15.6 inch laptop intel i5 4200u 1.6ghz processor  4gb ram  500gb hard drive  windows 8  clarinet black    laptop computers   computers & accessories,"1.6 ghz intel core i5. intel core i51.6 ghz intel core i51.6 ghz intel core i5amazon.com : acer aspire e1-572-6870 15.6 inch laptop intel i5 4200u 1.6ghz processor, 4gb ram, 500gb hard drive, windows 8 (clarinet black) : laptop computers : computers & accessoriesacer",core i5,acer,acer core i5
3,www.isupplyhub.com//821,hp,,,,,4 gb sdram ddr3,ddr3 sdram. 4 gb sdram ddr3,,500 gb,,4.8 pounds,15.18 x 0.89 x 10.16 inches,"amazon.com : 15.6"" hp 15-f009wm amd dual-core e1-2100 4gb ddr3 ram 500gb hd webcam windows 8.1 (certified refurbished) : computers & accessories","amazon.com   15.6"" hp 15-f009wm amd dual-core e1-2100 4gb ddr3 ram 500gb hd webcam windows 8.1  certified refurbished    computers & accessories","amazon.com : 15.6"" hp 15-f009wm amd dual-core e1-2100 4gb ddr3 ram 500gb hd webcam windows 8.1 (certified refurbished) : computers & accessorieshp",amd,hp,hp amd
4,www.isupplyhub.com//157,asus,1.7 ghz core i5-3317u. intel,,1.7 ghz core i5-3317u,1.7 ghz core i5-3317u,4 gb ddr3,ddr3 sdram. 4 gb ddr3,,256 mb,,2.9 pounds,8.80 x 0.70 x 12.80 inches,"amazon.com : asus ux31a-xb52 13.3-inch ultrabook (1.7 ghz intel core i5-3317u processor, 4gb ddr3, 256gb ssd, windows 7 professional) silver aluminum : laptop computers : computers & accessories",amazon.com   asus ux31a-xb52 13.3-inch ultrabook  1.7 ghz intel core i5-3317u processor  4gb ddr3  256gb ssd  windows 7 professional  silver aluminum   laptop computers   computers & accessories,"1.7 ghz core i5-3317u. intel1.7 ghz core i5-3317u1.7 ghz core i5-3317uamazon.com : asus ux31a-xb52 13.3-inch ultrabook (1.7 ghz intel core i5-3317u processor, 4gb ddr3, 256gb ssd, windows 7 professional) silver aluminum : laptop computers : computers & accessoriesasus",core i5,asus,asus core i5
5,www.isupplyhub.com//985,,intel core i7,,intel core i7,intel core i7,3 gb,3 gb,,160 gb,,,,amazon.com : lenovo 3093b51 thinkpad x201 tablet 3093 - convertible - core i7 640lm / 2.13 ghz - win xp tablet pc 2005 - 3 gb ram - 160 gb ssd - no optical drive - 12.1 inch outdoor 1280 x 800 - intel hd graphics - 3g upgradable - black : computers & accessories,amazon.com   lenovo 3093b51 thinkpad x201 tablet 3093 convertible core i7 640lm / 2.13 ghz win xp tablet pc 2005 3 gb ram 160 gb ssd no optical drive 12.1 inch outdoor 1280 x 800 intel hd graphics 3g upgradable black   computers & accessories,intel core i7intel core i7intel core i7amazon.com : lenovo 3093b51 thinkpad x201 tablet 3093 - convertible - core i7 640lm / 2.13 ghz - win xp tablet pc 2005 - 3 gb ram - 160 gb ssd - no optical drive - 12.1 inch outdoor 1280 x 800 - intel hd graphics - 3g upgradable - black : computers & accessories,core i7,lenovo,lenovo core i7
6,www.isupplyhub.com//648,acer,2.6 ghz core i5 3230m. intel core i5,,2.6 ghz core i5 3230m,2.6 ghz core i5 3230m,6 gb ddr3,ddr3 sdram. 6 gb ddr3,,500 gb,,7.1 pounds,16.30 x 10.80 x 1.40 inches,amazon.com : acer aspire nx.mg7aa.005;e1-771-6496 17.3-inch laptop : computers & accessories,amazon.com   acer aspire nx.mg7aa.005;e1-771-6496 17.3-inch laptop   computers & accessories,2.6 ghz core i5 3230m. intel core i52.6 ghz core i5 3230m2.6 ghz core i5 3230mamazon.com : acer aspire nx.mg7aa.005;e1-771-6496 17.3-inch laptop : computers & accessoriesacer,core i5,acer,acer core i5
7,www.isupplyhub.com//669,acer,intel core i7,,,,12 gb ddr3,12 gb ddr3,,1 tb flash_memory_solid_state,,16 pounds,,amazon.com : acer aspire v3-772g-9460 17.3 led notebook intel core i7-4702mq 2.20 ghz 12gb ddr3 1tb hdd + 120gb ssd blu-ray reader/dvd-writer nvidia geforce gtx 760m windows 8 black : laptop computers : computers & accessories,amazon.com   acer aspire v3-772g-9460 17.3 led notebook intel core i7-4702mq 2.20 ghz 12gb ddr3 1tb hdd + 120gb ssd blu-ray reader/dvd-writer nvidia geforce gtx 760m windows 8 black   laptop computers   computers & accessories,intel core i7amazon.com : acer aspire v3-772g-9460 17.3 led notebook intel core i7-4702mq 2.20 ghz 12gb ddr3 1tb hdd + 120gb ssd blu-ray reader/dvd-writer nvidia geforce gtx 760m windows 8 black : laptop computers : computers & accessoriesacer,core i7,acer,acer core i7
8,www.isupplyhub.com//75,,intel core i7,,intel core i7,intel core i7,3 gb,3 gb,,160 gb,,,,amazon.com : lenovo 3093b65 thinkpad x201 tablet 3093 - convertible - core i7 640lm / 2.13 ghz - win xp tablet pc 2005 - 3 gb ram - 160 gb ssd - no optical drive - 12.1 inch outdoor 1280 x 800 - intel hd graphics - 3g upgradable - black : computers & accessories,amazon.com   lenovo 3093b65 thinkpad x201 tablet 3093 convertible core i7 640lm / 2.13 ghz win xp tablet pc 2005 3 gb ram 160 gb ssd no optical drive 12.1 inch outdoor 1280 x 800 intel hd graphics 3g upgradable black   computers & accessories,intel core i7intel core i7intel core i7amazon.com : lenovo 3093b65 thinkpad x201 tablet 3093 - convertible - core i7 640lm / 2.13 ghz - win xp tablet pc 2005 - 3 gb ram - 160 gb ssd - no optical drive - 12.1 inch outdoor 1280 x 800 - intel hd graphics - 3g upgradable - black : computers & accessories,core i7,lenovo,lenovo core i7
9,www.isupplyhub.com//822,acer,2 ghz intel core i7. intel,,2 ghz intel core i7,2 ghz intel core i7,8 gb ddr3l sdram,8 gb ddr3l sdram,,1000 gb sata,,6.1 pounds,15.02 x 10.08 x 1.24 inches,amazon.com : acer aspire v3-572pg-767j 15.6-inch touchscreen laptop (platinum silver) : computers & accessories,amazon.com   acer aspire v3-572pg-767j 15.6-inch touchscreen laptop  platinum silver    computers & accessories,2 ghz intel core i7. intel2 ghz intel core i72 ghz intel core i7amazon.com : acer aspire v3-572pg-767j 15.6-inch touchscreen laptop (platinum silver) : computers & accessoriesacer,core i7,acer,acer core i7
