precision_score,recall_score,f1_score,cluster_n,method,dataset,encoding,threshold
1.0,0.116,0.208,2,kmeans,1,use,1.5
0.931,0.545,0.688,2,kmeans,2,use,1.5
0.463,0.306,0.369,2,kmeans,3,use,1.5
0.42,0.675,0.518,2,kmeans,4,use,1.5
0.498,0.574,0.533,2,kmeans,all,use,1.5
0.0,0.0,0.0,5,kmeans,1,use,1.5
0.966,0.183,0.308,5,kmeans,2,use,1.5
0.423,0.168,0.24,5,kmeans,3,use,1.5
0.525,0.328,0.404,5,kmeans,4,use,1.5
0.563,0.258,0.354,5,kmeans,all,use,1.5
0.0,0.0,0.0,10,kmeans,1,use,1.5
1.0,0.087,0.16,10,kmeans,2,use,1.5
0.512,0.136,0.215,10,kmeans,3,use,1.5
0.498,0.135,0.212,10,kmeans,4,use,1.5
0.558,0.121,0.198,10,kmeans,all,use,1.5
1.0,0.208,0.345,1,jaccard,1,,1.5
0.933,0.811,0.868,1,jaccard,2,,1.5
0.473,0.304,0.37,1,jaccard,3,,1.5
0.847,0.083,0.151,1,jaccard,4,,1.5
0.828,0.397,0.537,1,jaccard,all,,1.5
0.75,0.14,0.235,1,agglomerative,1,use,0.5
0.917,0.302,0.454,1,agglomerative,2,use,0.5
0.584,0.185,0.281,1,agglomerative,3,use,0.5
0.779,0.052,0.097,1,agglomerative,4,use,0.5
0.794,0.146,0.247,1,agglomerative,all,use,0.5
0.733,0.256,0.379,1,agglomerative,1,use,0.8
0.902,0.567,0.697,1,agglomerative,2,use,0.8
0.531,0.239,0.329,1,agglomerative,3,use,0.8
0.611,0.133,0.219,1,agglomerative,4,use,0.8
0.736,0.275,0.401,1,agglomerative,all,use,0.8
0.75,0.419,0.537,1,agglomerative,1,use,1.0
0.918,0.685,0.784,1,agglomerative,2,use,1.0
0.557,0.286,0.378,1,agglomerative,3,use,1.0
0.598,0.259,0.361,1,agglomerative,4,use,1.0
0.72,0.386,0.503,1,agglomerative,all,use,1.0
0.75,0.419,0.537,1,agglomerative,1,use,1.25
0.934,0.921,0.927,1,agglomerative,2,use,1.25
0.578,0.34,0.428,1,agglomerative,3,use,1.25
0.575,0.447,0.503,1,agglomerative,4,use,1.25
0.702,0.564,0.626,1,agglomerative,all,use,1.25
0.75,0.419,0.537,1,agglomerative,1,use,1.5
0.935,0.941,0.938,1,agglomerative,2,use,1.5
0.553,0.376,0.448,1,agglomerative,3,use,1.5
0.521,0.668,0.585,1,agglomerative,4,use,1.5
0.633,0.696,0.663,1,agglomerative,all,use,1.5
0.75,0.419,0.537,1,agglomerative,1,use,1.75
0.935,0.941,0.938,1,agglomerative,2,use,1.75
0.512,0.449,0.478,1,agglomerative,3,use,1.75
0.451,0.867,0.594,1,agglomerative,4,use,1.75
0.552,0.816,0.659,1,agglomerative,all,use,1.75
0.75,0.419,0.537,1,agglomerative,1,use,2.0
0.935,0.941,0.938,1,agglomerative,2,use,2.0
0.485,0.587,0.531,1,agglomerative,3,use,2.0
0.445,0.875,0.59,1,agglomerative,4,use,2.0
0.541,0.843,0.66,1,agglomerative,all,use,2.0
0.75,0.419,0.537,1,agglomerative,1,use,2.5
0.935,0.941,0.938,1,agglomerative,2,use,2.5
0.485,0.587,0.531,1,agglomerative,3,use,2.5
0.377,0.982,0.544,1,agglomerative,4,use,2.5
0.473,0.901,0.62,1,agglomerative,all,use,2.5
0.818,0.209,0.333,2,birch,1,use,1.5
0.911,0.625,0.741,2,birch,2,use,1.5
0.455,0.473,0.464,2,birch,3,use,1.5
0.437,0.72,0.544,2,birch,4,use,1.5
0.513,0.649,0.573,2,birch,all,use,1.5
0.0,0.0,0.0,5,birch,1,use,1.5
0.876,0.433,0.58,5,birch,2,use,1.5
0.417,0.299,0.348,5,birch,3,use,1.5
0.482,0.341,0.399,5,birch,4,use,1.5
0.556,0.358,0.436,5,birch,all,use,1.5
0.0,0.0,0.0,10,birch,1,use,1.5
0.873,0.42,0.567,10,birch,2,use,1.5
0.422,0.156,0.228,10,birch,3,use,1.5
0.517,0.155,0.238,10,birch,4,use,1.5
0.636,0.23,0.338,10,birch,all,use,1.5
